NC_003551.1	RefSeq	gene	748	1806	.	-	.	ID=gene-MK_RS00010;Dbxref=GeneID:1477327;Name=MK_RS00010;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00010;old_locus_tag=MK0001
NC_003551.1	RefSeq	gene	1888	2403	.	-	.	ID=gene-MK_RS00015;Dbxref=GeneID:1477304;Name=MK_RS00015;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00015;old_locus_tag=MK0002
NC_003551.1	RefSeq	gene	2357	3415	.	-	.	ID=gene-MK_RS00020;Dbxref=GeneID:1477305;Name=MK_RS00020;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00020;old_locus_tag=MK0003
NC_003551.1	RefSeq	gene	3490	3807	.	+	.	ID=gene-MK_RS00025;Dbxref=GeneID:1477306;Name=rpl12p;gbkey=Gene;gene=rpl12p;gene_biotype=protein_coding;locus_tag=MK_RS00025;old_locus_tag=MK0004
NC_003551.1	RefSeq	gene	3811	5343	.	-	.	ID=gene-MK_RS00030;Dbxref=GeneID:1477307;Name=MK_RS00030;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00030;old_locus_tag=MK0005
NC_003551.1	RefSeq	gene	5349	7256	.	-	.	ID=gene-MK_RS00035;Dbxref=GeneID:1477308;Name=MK_RS00035;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00035;old_locus_tag=MK0006
NC_003551.1	RefSeq	gene	7315	7626	.	-	.	ID=gene-MK_RS09225;Dbxref=GeneID:68225853;Name=MK_RS09225;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS09225
NC_003551.1	RefSeq	gene	8820	9161	.	+	.	ID=gene-MK_RS00045;Dbxref=GeneID:1477310;Name=MK_RS00045;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00045;old_locus_tag=MK0008
NC_003551.1	RefSeq	gene	9305	10450	.	+	.	ID=gene-MK_RS00050;Dbxref=GeneID:1477311;Name=MK_RS00050;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00050;old_locus_tag=MK0009
NC_003551.1	RefSeq	gene	10400	11074	.	-	.	ID=gene-MK_RS00055;Dbxref=GeneID:1477312;Name=MK_RS00055;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00055;old_locus_tag=MK0010
NC_003551.1	RefSeq	gene	11167	12018	.	+	.	ID=gene-MK_RS00060;Dbxref=GeneID:1477313;Name=MK_RS00060;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00060;old_locus_tag=MK0011
NC_003551.1	RefSeq	gene	11999	12547	.	-	.	ID=gene-MK_RS00065;Dbxref=GeneID:1477314;Name=MK_RS00065;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00065;old_locus_tag=MK0012
NC_003551.1	RefSeq	gene	12672	13748	.	+	.	ID=gene-MK_RS00070;Dbxref=GeneID:1477315;Name=hmd;gbkey=Gene;gene=hmd;gene_biotype=protein_coding;locus_tag=MK_RS00070;old_locus_tag=MK0013
NC_003551.1	RefSeq	gene	13791	14549	.	+	.	ID=gene-MK_RS00075;Dbxref=GeneID:1477316;Name=MK_RS00075;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00075;old_locus_tag=MK0014
NC_003551.1	RefSeq	gene	14518	15279	.	+	.	ID=gene-MK_RS00080;Dbxref=GeneID:1477317;Name=MK_RS00080;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00080;old_locus_tag=MK0015
NC_003551.1	RefSeq	gene	15236	16306	.	+	.	ID=gene-MK_RS00085;Dbxref=GeneID:1477318;Name=hmdB;gbkey=Gene;gene=hmdB;gene_biotype=protein_coding;locus_tag=MK_RS00085;old_locus_tag=MK0016
NC_003551.1	RefSeq	gene	16252	17787	.	+	.	ID=gene-MK_RS00090;Dbxref=GeneID:1477319;Name=hmdC;gbkey=Gene;gene=hmdC;gene_biotype=protein_coding;locus_tag=MK_RS00090;old_locus_tag=MK0017
NC_003551.1	RefSeq	gene	17781	18263	.	+	.	ID=gene-MK_RS00095;Dbxref=GeneID:1477320;Name=MK_RS00095;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00095;old_locus_tag=MK0018
NC_003551.1	RefSeq	gene	18347	19369	.	+	.	ID=gene-MK_RS00100;Dbxref=GeneID:1477321;Name=MK_RS00100;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00100;old_locus_tag=MK0019
NC_003551.1	RefSeq	gene	19326	19685	.	+	.	ID=gene-MK_RS00105;Dbxref=GeneID:1477322;Name=MK_RS00105;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00105;old_locus_tag=MK0020
NC_003551.1	RefSeq	gene	19860	20105	.	-	.	ID=gene-MK_RS00110;Dbxref=GeneID:41583356;Name=MK_RS00110;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00110
NC_003551.1	RefSeq	gene	20108	20878	.	-	.	ID=gene-MK_RS00115;Dbxref=GeneID:1477323;Name=mtnP;gbkey=Gene;gene=mtnP;gene_biotype=protein_coding;locus_tag=MK_RS00115;old_locus_tag=MK0021
NC_003551.1	RefSeq	gene	20875	21456	.	-	.	ID=gene-MK_RS00120;Dbxref=GeneID:1477324;Name=MK_RS00120;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00120;old_locus_tag=MK0022
NC_003551.1	RefSeq	gene	21460	21801	.	-	.	ID=gene-MK_RS00125;Dbxref=GeneID:1477325;Name=MK_RS00125;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00125;old_locus_tag=MK0023
NC_003551.1	RefSeq	gene	21809	22345	.	-	.	ID=gene-MK_RS00130;Dbxref=GeneID:1477326;Name=MK_RS00130;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MK_RS00130;old_locus_tag=MK0024
