NC_013202.1	RefSeq	gene	43	2643	.	+	.	ID=gene-HMUK_RS00005;Dbxref=GeneID:8411904;Name=HMUK_RS00005;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00005;old_locus_tag=Hmuk_0001
NC_013202.1	RefSeq	gene	2764	3687	.	+	.	ID=gene-HMUK_RS00010;Dbxref=GeneID:8409498;Name=HMUK_RS00010;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00010;old_locus_tag=Hmuk_0002
NC_013202.1	RefSeq	gene	3846	4313	.	-	.	ID=gene-HMUK_RS00015;Dbxref=GeneID:8409499;Name=HMUK_RS00015;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00015;old_locus_tag=Hmuk_0003
NC_013202.1	RefSeq	gene	4792	5085	.	+	.	ID=gene-HMUK_RS00020;Dbxref=GeneID:8409500;Name=HMUK_RS00020;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00020;old_locus_tag=Hmuk_0004
NC_013202.1	RefSeq	gene	5204	5638	.	+	.	ID=gene-HMUK_RS00025;Dbxref=GeneID:8409501;Name=HMUK_RS00025;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00025;old_locus_tag=Hmuk_0005
NC_013202.1	RefSeq	gene	5711	5968	.	+	.	ID=gene-HMUK_RS00030;Dbxref=GeneID:8409502;Name=HMUK_RS00030;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00030;old_locus_tag=Hmuk_0006
NC_013202.1	RefSeq	gene	5973	6236	.	-	.	ID=gene-HMUK_RS00035;Dbxref=GeneID:8409503;Name=HMUK_RS00035;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00035;old_locus_tag=Hmuk_0007
NC_013202.1	RefSeq	gene	6237	6629	.	-	.	ID=gene-HMUK_RS00040;Dbxref=GeneID:8409504;Name=HMUK_RS00040;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00040;old_locus_tag=Hmuk_0008
NC_013202.1	RefSeq	gene	6703	7467	.	-	.	ID=gene-HMUK_RS00045;Dbxref=GeneID:8409505;Name=HMUK_RS00045;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00045;old_locus_tag=Hmuk_0009
NC_013202.1	RefSeq	gene	7507	7899	.	-	.	ID=gene-HMUK_RS00050;Dbxref=GeneID:8409506;Name=HMUK_RS00050;gbkey=Gene;gene_biotype=protein_coding;locus_tag=HMUK_RS00050;old_locus_tag=Hmuk_0010
